date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:33	34496/34496	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:33%20GMT	http://jessicapphotography.com/deutsch/portfolio/die-erwartungsvollen/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/ca/deutsch/portfolio/die-erwartungsvollen/index.html	(from http://jessicapphotography.com/deutsch/portfolio/)
13:19:34	44195/44195	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:33%20GMT	http://jessicapphotography.com/deutsch/portfolio/die-allerkleinsten/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/de/deutsch/portfolio/die-allerkleinsten/index.html	(from http://jessicapphotography.com/deutsch/portfolio/)
13:19:37	19338/19338	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Nov%202015%2018:19:33%20GMT	http://jessicapphotography.com/deutsch/2014/06/sommersessionspecial/%e2%80%9c>schaut%20schnell%20nochmal%20hier%20vorbei</a>%20&%20<a%20href=	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/b9/deutsch/2014/06/sommersessionspecial/%e2%80%9c_schaut%20schnell%20nochmal%20hier%20vorbei_/a_%20&%20_a%20href=.27.delayed	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:38	39745/39745	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:34%20GMT	http://jessicapphotography.com/deutsch/portfolio/die-entdecker/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/6f/deutsch/portfolio/die-entdecker/index.html	(from http://jessicapphotography.com/deutsch/portfolio/)
13:19:38	32716/32716	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:35%20GMT	http://jessicapphotography.com/deutsch/portfolio/die-wissbegierigen/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/78/deutsch/portfolio/die-wissbegierigen/index.html	(from http://jessicapphotography.com/deutsch/portfolio/)
13:19:39	30929/30929	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:34%20GMT	http://jessicapphotography.com/deutsch/portfolio/die-neugierigen/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/15/deutsch/portfolio/die-neugierigen/index.html	(from http://jessicapphotography.com/deutsch/portfolio/)
13:19:40	80349/80349	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:38%20GMT	http://jessicapphotography.com/deutsch/portfolio/beziehungen/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/76/deutsch/portfolio/beziehungen/index.html	(from http://jessicapphotography.com/deutsch/portfolio/)
13:19:48	38121/38121	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:39%20GMT	http://jessicapphotography.com/deutsch/author/admin/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/33/deutsch/author/admin/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:48	43986/43986	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:39%20GMT	http://jessicapphotography.com/deutsch/newsblog/page/2/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/f5/deutsch/newsblog/page/2/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:48	30967/30967	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:39%20GMT	http://jessicapphotography.com/deutsch/2014/09/nach-dem-kindergarten-ii/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/5f/deutsch/2014/09/nach-dem-kindergarten-ii/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:49	38185/38185	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:44%20GMT	http://jessicapphotography.com/deutsch/category/jessica-photography/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/d6/deutsch/category/jessica-photography/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:52	37524/37524	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:49%20GMT	http://jessicapphotography.com/deutsch/category/privat/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/67/deutsch/category/privat/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:52	30522/30522	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:50%20GMT	http://jessicapphotography.com/deutsch/2014/08/momente/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/4f/deutsch/2014/08/momente/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:52	30783/30783	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:49%20GMT	http://jessicapphotography.com/deutsch/2014/09/nach-dem-kindergarten/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/08/deutsch/2014/09/nach-dem-kindergarten/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:53	31759/31759	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:51%20GMT	http://jessicapphotography.com/deutsch/2014/08/fotoshooting-junggesellinnenabschied/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/00/deutsch/2014/08/fotoshooting-junggesellinnenabschied/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:54	38456/38456	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:53%20GMT	http://jessicapphotography.com/deutsch/category/fotoshoots/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/6c/deutsch/category/fotoshoots/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:54	32422/32422	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:52%20GMT	http://jessicapphotography.com/deutsch/2014/08/am-see/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/77/deutsch/2014/08/am-see/index.html	(from http://jessicapphotography.com/deutsch/newsblog/)
13:19:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:58%20GMT	http://jessicapphotography.com/english/?p=12	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/7c/english/index.html678b09d643ac57bc21697579f070a4eb	(from http://jessicapphotography.com/english/jessica)
13:19:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:59%20GMT	http://jessicapphotography.com/english/?p=15	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/e6/english/index.htmla1cadbcbffbdaee1259375ee3132e838	(from http://jessicapphotography.com/english/sessiondetails)
